possession_side,time_band,time_start,time_end,score_diff_label,score_diff_min,score_diff_max,call,detail,notes,raw_text
our_possession,1:00-0:52.1,1:00,0:52.1,-4,-4,-4,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,-3,-3,-3,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,-2,-2,-2,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,-1,-1,-1,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,0,0,0,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,1,1,1,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,2,2,2,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,1:00-0:52.1,1:00,0:52.1,3,3,3,NORMAL OFFENSE,,,NORMAL OFFENSE
our_possession,0:52-0:40.1,0:52,0:40.1,-4,-4,-4,2 FOR 1,,,2 FOR 1
our_possession,0:52-0:40.1,0:52,0:40.1,-3,-3,-3,2 FOR 1,,,2 FOR 1
our_possession,0:52-0:40.1,0:52,0:40.1,-2,-2,-2,2 FOR 1,,,2 FOR 1
our_possession,0:52-0:40.1,0:52,0:40.1,-1,-1,-1,2 FOR 1,,,2 FOR 1
our_possession,0:52-0:40.1,0:52,0:40.1,0,0,0,2 FOR 1,GOOD SHOT ONLY,,2 FOR 1 / (GOOD SHOT ONLY)
our_possession,0:52-0:40.1,0:52,0:40.1,1,1,1,2 FOR 1,GOOD SHOT ONLY,,2 FOR 1 / (GOOD SHOT ONLY)
our_possession,0:52-0:40.1,0:52,0:40.1,2,2,2,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:52-0:40.1,0:52,0:40.1,3,3,3,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:40-0:35.1,0:40,0:35.1,-4,-4,-4,2 FOR 1,,,2 FOR 1
our_possession,0:40-0:35.1,0:40,0:35.1,-3,-3,-3,2 FOR 1,,,2 FOR 1
our_possession,0:40-0:35.1,0:40,0:35.1,-2,-2,-2,2 FOR 1,,,2 FOR 1
our_possession,0:40-0:35.1,0:40,0:35.1,-1,-1,-1,2 FOR 1,,,2 FOR 1
our_possession,0:40-0:35.1,0:40,0:35.1,0,0,0,2 FOR 1,GOOD SHOT ONLY,,2 FOR 1 / (GOOD SHOT ONLY)
our_possession,0:40-0:35.1,0:40,0:35.1,1,1,1,2 FOR 1,GOOD SHOT ONLY,,2 FOR 1 / (GOOD SHOT ONLY)
our_possession,0:40-0:35.1,0:40,0:35.1,2,2,2,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:40-0:35.1,0:40,0:35.1,3,3,3,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:35-0:30.1,0:35,0:30.1,-4,-4,-4,QUICK 2 FOR 1,USE TIMEOUT IF WE HAVE 2,,QUICK 2 FOR 1 (USE TIMEOUT IF WE HAVE 2)
our_possession,0:35-0:30.1,0:35,0:30.1,-3,-3,-3,QUICK 2 FOR 1,USE T/OUT IF HAVE 2,,QUICK 2 FOR 1 (USE T/OUT IF HAVE 2)
our_possession,0:35-0:30.1,0:35,0:30.1,-2,-2,-2,QUICK 2 FOR 1,USE T/OUT IF HAVE 2,,QUICK 2 FOR 1 (USE T/OUT IF HAVE 2)
our_possession,0:35-0:30.1,0:35,0:30.1,-1,-1,-1,QUICK 2 FOR 1,USE T/OUT IF HAVE 2,,QUICK 2 FOR 1 (USE T/OUT IF HAVE 2)
our_possession,0:35-0:30.1,0:35,0:30.1,0,0,0,QUICK 2 FOR 1,USE T/OUT IF HAVE 2,,QUICK 2 FOR 1 (USE T/OUT IF HAVE 2)
our_possession,0:35-0:30.1,0:35,0:30.1,1,1,1,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:35-0:30.1,0:35,0:30.1,2,2,2,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:35-0:30.1,0:35,0:30.1,3,3,3,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:30-0:28.1,0:30,0:28.1,-4,-4,-4,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:30-0:28.1,0:30,0:28.1,-3,-3,-3,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:30-0:28.1,0:30,0:28.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:30-0:28.1,0:30,0:28.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:30-0:28.1,0:30,0:28.1,0,0,0,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:30-0:28.1,0:30,0:28.1,1,1,1,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:30-0:28.1,0:30,0:28.1,2,2,2,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:30-0:28.1,0:30,0:28.1,3,3,3,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:28-0:26.1,0:28,0:26.1,-4,-4,-4,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:28-0:26.1,0:28,0:26.1,-3,-3,-3,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:28-0:26.1,0:28,0:26.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:28-0:26.1,0:28,0:26.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:28-0:26.1,0:28,0:26.1,0,0,0,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:28-0:26.1,0:28,0:26.1,1,1,1,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:28-0:26.1,0:28,0:26.1,2,2,2,SHOOT UNDER :05 ON SHOT CLOCK,,,SHOOT UNDER :05 ON SHOT CLOCK
our_possession,0:28-0:26.1,0:28,0:26.1,3,3,3,SHOOT UNDER :05 ON SHOT CLOCK,,,SHOOT UNDER :05 ON SHOT CLOCK
our_possession,0:26-0:24.1,0:26,0:24.1,-4,-4,-4,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:26-0:24.1,0:26,0:24.1,-3,-3,-3,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:26-0:24.1,0:26,0:24.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:26-0:24.1,0:26,0:24.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:26-0:24.1,0:26,0:24.1,0,0,0,SHOOT UNDER :08 ON SHOT CLOCK,,,SHOOT UNDER :08 ON SHOT CLOCK
our_possession,0:26-0:24.1,0:26,0:24.1,1,1,1,SHOOT UNDER :05 ON SHOT CLOCK,"BUT IF OPPONENT HAS NO TIMEOUT, SHOOT UNDER :03 ON SHOT CLOCK",,"SHOOT UNDER :05 ON SHOT CLOCK. BUT IF OPPONENT HAS NO TIMEOUT, SHOOT UNDER :03 ON SHOT CLOCK"
our_possession,0:26-0:24.1,0:26,0:24.1,2,2,2,SHOOT UNDER :05 ON SHOT CLOCK,"BUT IF OPPONENT HAS NO TIMEOUT, SHOOT UNDER :03 ON SHOT CLOCK",,"SHOOT UNDER :05 ON SHOT CLOCK. BUT IF OPPONENT HAS NO TIMEOUT, SHOOT UNDER :03 ON SHOT CLOCK"
our_possession,0:26-0:24.1,0:26,0:24.1,3,3,3,SHOOT UNDER :05 ON SHOT CLOCK,"BUT IF OPPONENT HAS NO TIMEOUT, SHOOT UNDER :03 ON SHOT CLOCK",,"SHOOT UNDER :05 ON SHOT CLOCK. BUT IF OPPONENT HAS NO TIMEOUT, SHOOT UNDER :03 ON SHOT CLOCK"
our_possession,0:24-0:20.1,0:24,0:20.1,-4,-4,-4,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:24-0:20.1,0:24,0:20.1,-3,-3,-3,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:24-0:20.1,0:24,0:20.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:24-0:20.1,0:24,0:20.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:24-0:20.1,0:24,0:20.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:24-0:20.1,0:24,0:20.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:24-0:20.1,0:24,0:20.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:24-0:20.1,0:24,0:20.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:20-0:15.1,0:20,0:15.1,-4,-4,-4,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:20-0:15.1,0:20,0:15.1,-3,-3,-3,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:20-0:15.1,0:20,0:15.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:20-0:15.1,0:20,0:15.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:20-0:15.1,0:20,0:15.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:20-0:15.1,0:20,0:15.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:20-0:15.1,0:20,0:15.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:20-0:15.1,0:20,0:15.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:15-0:10.1,0:15,0:10.1,-4,-4,-4,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:15-0:10.1,0:15,0:10.1,-3,-3,-3,QUICK 2 / OR / GOOD 3,,,QUICK 2 / OR / GOOD 3
our_possession,0:15-0:10.1,0:15,0:10.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:15-0:10.1,0:15,0:10.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:15-0:10.1,0:15,0:10.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:15-0:10.1,0:15,0:10.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:15-0:10.1,0:15,0:10.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:15-0:10.1,0:15,0:10.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:10-0:08.1,0:10,0:08.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:10-0:08.1,0:10,0:08.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:10-0:08.1,0:10,0:08.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:10-0:08.1,0:10,0:08.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:10-0:08.1,0:10,0:08.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:10-0:08.1,0:10,0:08.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:10-0:08.1,0:10,0:08.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:10-0:08.1,0:10,0:08.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:08-0:07.1,0:08,0:07.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:08-0:07.1,0:08,0:07.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:08-0:07.1,0:08,0:07.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:08-0:07.1,0:08,0:07.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:08-0:07.1,0:08,0:07.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:08-0:07.1,0:08,0:07.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:08-0:07.1,0:08,0:07.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:08-0:07.1,0:08,0:07.1,3,3,3,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,-4,-4,-4,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:07-0:06.1,0:07,0:06.1,-3,-3,-3,NEED 3 / / *CRASH 5*,,,NEED 3 / / *CRASH 5*
our_possession,0:07-0:06.1,0:07,0:06.1,-2,-2,-2,NEED 2 / BUT PREFER / 3,,,NEED 2 / BUT PREFER / 3
our_possession,0:07-0:06.1,0:07,0:06.1,-1,-1,-1,NEED 2,,,NEED 2
our_possession,0:07-0:06.1,0:07,0:06.1,0,0,0,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,1,1,1,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
our_possession,0:07-0:06.1,0:07,0:06.1,2,2,2,HOLD BALL FOR LAST / SHOT,,,HOLD BALL FOR LAST / SHOT
